utilization.gpu [%], memory.used [MiB]
67 %, 19938 MiB
66 %, 19938 MiB
69 %, 19938 MiB
71 %, 19938 MiB
72 %, 19938 MiB
72 %, 19938 MiB
79 %, 19938 MiB
78 %, 19938 MiB
79 %, 19938 MiB
79 %, 19938 MiB
79 %, 19938 MiB
57 %, 19938 MiB
68 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
70 %, 19938 MiB
72 %, 19938 MiB
72 %, 19938 MiB
70 %, 19938 MiB
75 %, 19938 MiB
75 %, 19938 MiB
74 %, 19938 MiB
77 %, 19938 MiB
78 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
69 %, 19938 MiB
70 %, 19938 MiB
72 %, 19938 MiB
73 %, 19938 MiB
78 %, 19938 MiB
77 %, 19938 MiB
77 %, 19938 MiB
78 %, 19938 MiB
78 %, 19938 MiB
77 %, 19938 MiB
78 %, 19938 MiB
77 %, 19938 MiB
78 %, 19938 MiB
64 %, 19938 MiB
67 %, 19938 MiB
67 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
66 %, 19938 MiB
67 %, 19938 MiB
65 %, 19938 MiB
67 %, 19938 MiB
